,,,,,,
Terms,Coef,SE Coef,95% CI,T-Value,P-Value,VIF
South Solon,-0.355,0.846,"(-2.013, 1.303)",-0.42,0.675,2.01
South Vienna,-0.313,0.847,"(-1.973, 1.348)",-0.37,0.712,2.02
South Wales,1.378,0.846,"(-0.281, 3.037)",1.63,0.104,2.02
Southington,-0.187,0.692,"(-1.543, 1.170)",-0.27,0.788,4.04
Spangle,-0.396,0.845,"(-2.053, 1.261)",-0.47,0.64,2.01
Spanish Fork,-0.081,0.617,"(-1.291, 1.128)",-0.13,0.895,18.19
Sparks,1.426,0.846,"(-0.232, 3.084)",1.69,0.092,2.01
Sparks Glencoe,1.316,0.846,"(-0.343, 2.975)",1.55,0.12,2.02
Spartanburg,-0.199,0.734,"(-1.637, 1.239)",-0.27,0.786,3.03
Sperry,-0.267,0.846,"(-1.926, 1.393)",-0.31,0.753,2.02
Spokane,-0.046,0.67,"(-1.359, 1.266)",-0.07,0.945,5.05
Spring,0.226,0.692,"(-1.130, 1.583)",0.33,0.744,4.04
Spring Hill,-1.115,0.847,"(-2.775, 0.546)",-1.32,0.188,2.02
Spring Lake,-0.352,0.671,"(-1.666, 0.963)",-0.52,0.6,5.06
Spring Valley,-0.503,0.848,"(-2.165, 1.158)",-0.59,0.553,2.02
Springfield,-0.138,0.626,"(-1.365, 1.089)",-0.22,0.826,12.12
Springville,-0.288,0.622,"(-1.507, 0.931)",-0.46,0.643,14.13
Staley,-0.34,0.849,"(-2.004, 1.324)",-0.4,0.689,2.03
Stamford,0.145,0.692,"(-1.211, 1.501)",0.21,0.834,4.04
Stanfield,-0.144,0.847,"(-1.804, 1.516)",-0.17,0.865,2.02
Staten Island,0.241,0.691,"(-1.114, 1.596)",0.35,0.728,4.04
Statesville,-0.524,0.734,"(-1.962, 0.914)",-0.71,0.475,3.03
Staunton,0.191,0.734,"(-1.247, 1.629)",0.26,0.795,3.03
Stayton,-0.405,0.847,"(-2.066, 1.256)",-0.48,0.633,2.02
Sterling,0.02,0.669,"(-1.292, 1.333)",0.03,0.976,5.04
Stevenson,1.085,0.641,"(-0.172, 2.342)",1.69,0.091,8.1
Stevenson Ranch,-0.573,0.849,"(-2.237, 1.090)",-0.68,0.499,2.03
Stevensville,-0.343,0.847,"(-2.003, 1.317)",-0.4,0.686,2.02
Stewartsville,-0.361,0.846,"(-2.019, 1.296)",-0.43,0.669,2.01
Stockbridge,-0.352,0.657,"(-1.640, 0.935)",-0.54,0.592,6.07
Stockton,-0.061,0.652,"(-1.339, 1.217)",-0.09,0.926,8.37
Stokesdale,1.388,0.847,"(-0.273, 3.048)",1.64,0.101,2.02
Stone Mountain,1.572,0.847,"(-0.088, 3.232)",1.86,0.064,2.02
Stoneboro,0.18,0.732,"(-1.255, 1.614)",0.25,0.806,3.02
Stoneham,-0.248,0.846,"(-1.907, 1.410)",-0.29,0.769,2.02
Stonington,0.522,0.846,"(-1.136, 2.181)",0.62,0.537,2.02
Stoughton,1.462,0.67,"(0.150, 2.775)",2.18,0.029,5.05
Stratford,0.083,0.69,"(-1.269, 1.435)",0.12,0.905,4.02
Strongsville,-0.453,0.692,"(-1.810, 0.904)",-0.65,0.513,4.05
Stroudsburg,-0.062,0.657,"(-1.350, 1.226)",-0.09,0.925,6.08
Sturbridge,0.706,0.846,"(-0.953, 2.365)",0.83,0.404,2.02
Sturtevant,0.393,0.669,"(-0.919, 1.705)",0.59,0.557,5.05
Sudlersville,0.449,0.67,"(-0.864, 1.762)",0.67,0.502,5.05
Suffern,0.027,0.734,"(-1.410, 1.465)",0.04,0.97,3.03
Suffolk,1.479,0.733,"(0.042, 2.917)",2.02,0.044,3.03
Sugar Grove,0.412,0.692,"(-0.945, 1.770)",0.6,0.552,4.05
Sula,-0.384,0.855,"(-2.060, 1.291)",-0.45,0.653,2.06
Sumas,1.256,0.736,"(-0.187, 2.699)",1.71,0.088,3.05
Summerville,-0.421,0.848,"(-2.083, 1.240)",-0.5,0.619,2.02
Sumpter,0.262,0.648,"(-1.008, 1.531)",0.4,0.686,7.08
Sunman,1.162,0.846,"(-0.497, 2.820)",1.37,0.17,2.02
Sunnyvale,-0.432,0.847,"(-2.093, 1.229)",-0.51,0.61,2.02
Superior,0.236,0.689,"(-1.115, 1.587)",0.34,0.732,5.35
Surgoinsville,-0.417,0.849,"(-2.082, 1.248)",-0.49,0.623,2.03
Sutherlin,-0.197,0.734,"(-1.636, 1.241)",-0.27,0.788,3.03
Sutton,-0.415,0.658,"(-1.705, 0.876)",-0.63,0.529,6.1
Swansea,0.104,0.847,"(-1.556, 1.765)",0.12,0.902,2.02
Swanton,1.731,0.734,"(0.292, 3.170)",2.36,0.018,3.04
Swartz Creek,-0.31,0.846,"(-1.969, 1.349)",-0.37,0.714,2.02
Swedesboro,-0.657,0.656,"(-1.944, 0.629)",-1,0.317,6.06
Sweet Home,-0.13,0.734,"(-1.569, 1.308)",-0.18,0.859,3.03
Swisher,-0.71,0.693,"(-2.068, 0.648)",-1.02,0.305,4.05
Syosset,-0.271,0.734,"(-1.709, 1.167)",-0.37,0.712,3.03
Syracuse,0.093,0.608,"(-1.100, 1.285)",0.15,0.879,35.27
Tacoma,0.296,0.61,"(-0.899, 1.491)",0.49,0.628,30.24
Tangent,-0.578,0.648,"(-1.848, 0.692)",-0.89,0.372,7.08
Tarrytown,0.723,0.641,"(-0.534, 1.979)",1.13,0.26,8.09
Taylor,-0.133,0.624,"(-1.356, 1.090)",-0.21,0.831,13.13
Teague,0.816,0.846,"(-0.843, 2.476)",0.96,0.335,2.02
Tenino,-0.302,0.846,"(-1.961, 1.357)",-0.36,0.721,2.02
Terry,-0.494,0.846,"(-2.154, 1.165)",-0.58,0.559,2.02
Tewksbury,-0.249,0.846,"(-1.908, 1.411)",-0.29,0.769,2.02
The Dalles,-0.042,0.641,"(-1.299, 1.215)",-0.07,0.947,8.1
Thermopolis,-2.075,0.769,"(-3.583, -0.568)",-2.7,0.007,3.33
Thibodaux,-0.338,0.736,"(-1.781, 1.104)",-0.46,0.645,3.05
Thomaston,-0.585,0.846,"(-2.243, 1.073)",-0.69,0.489,2.01
Thomasville,1.204,0.735,"(-0.236, 2.645)",1.64,0.101,3.04
Thornton,-0.33,0.846,"(-1.990, 1.329)",-0.39,0.696,2.02
Thorntown,-0.201,0.846,"(-1.860, 1.459)",-0.24,0.813,2.02
Thornville,0.826,0.848,"(-0.836, 2.487)",0.97,0.33,2.02
Thorofare,0.555,0.846,"(-1.104, 2.214)",0.66,0.512,2.02
Thurmont,0.604,0.734,"(-0.834, 2.042)",0.82,0.41,3.03
Tillamook,-0.159,0.605,"(-1.344, 1.026)",-0.26,0.792,74.46
Tilton,-0.365,0.656,"(-1.651, 0.922)",-0.56,0.578,6.06
Timber,-0.191,0.847,"(-1.850, 1.469)",-0.23,0.822,2.02
Timnath,-0.388,0.846,"(-2.048, 1.271)",-0.46,0.646,2.02
Tinley Park,-0.469,0.847,"(-2.128, 1.191)",-0.55,0.58,2.02
Tipp City,-0.191,0.847,"(-1.851, 1.468)",-0.23,0.821,2.02
Titusville,-0.477,0.846,"(-2.136, 1.181)",-0.56,0.573,2.02
Tobyhanna,1.19,0.846,"(-0.469, 2.850)",1.41,0.16,2.02
Toledo,0.048,0.656,"(-1.239, 1.334)",0.07,0.942,6.06
Tonawanda,-0.093,0.636,"(-1.340, 1.153)",-0.15,0.883,9.1
Tonkawa,-0.383,0.852,"(-2.053, 1.286)",-0.45,0.653,2.04
Tooele,-0.139,0.622,"(-1.359, 1.081)",-0.22,0.824,56.36
Topeka,-1.277,0.868,"(-2.978, 0.424)",-1.47,0.141,2.12
Topsham,-0.535,0.694,"(-1.895, 0.825)",-0.77,0.441,4.06
Torrington,1.733,0.847,"(0.073, 3.393)",2.05,0.041,2.02
Totowa,-0.309,0.846,"(-1.968, 1.349)",-0.37,0.715,2.02
Tower Lakes,-0.359,0.846,"(-2.018, 1.300)",-0.42,0.671,2.02
Tracy,-0.375,0.734,"(-1.814, 1.063)",-0.51,0.609,3.03
Trafford,-0.608,0.733,"(-2.045, 0.829)",-0.83,0.407,3.02
Trail,-0.295,0.848,"(-1.958, 1.367)",-0.35,0.728,2.02
Tremont,-0.526,0.848,"(-2.188, 1.136)",-0.62,0.535,2.02
Trenton,-0.025,0.62,"(-1.241, 1.191)",-0.04,0.968,15.15
Triadelphia,-0.163,0.734,"(-1.601, 1.276)",-0.22,0.825,3.03
Troutdale,1.028,0.692,"(-0.329, 2.384)",1.49,0.137,4.04
Troutville,-0.556,0.846,"(-2.214, 1.103)",-0.66,0.511,2.02
Troy,0.425,0.632,"(-0.813, 1.664)",0.67,0.501,10.11
Trumbull,-0.524,0.733,"(-1.962, 0.913)",-0.72,0.474,3.03
Tualatin,-0.23,0.648,"(-1.499, 1.040)",-0.35,0.723,7.08
Tuckahoe,-0.65,0.847,"(-2.310, 1.010)",-0.77,0.443,2.02
Tucker,-0.344,0.846,"(-2.003, 1.315)",-0.41,0.684,2.02
Tuckerton,-0.551,0.733,"(-1.989, 0.887)",-0.75,0.453,3.03
Tulsa,-0.323,0.641,"(-1.579, 0.934)",-0.5,0.615,8.09
Turner,-0.289,0.847,"(-1.948, 1.371)",-0.34,0.733,2.02
Tygh Valley,-0.041,0.847,"(-1.702, 1.620)",-0.05,0.961,2.02
Uncasville,-0.514,0.733,"(-1.951, 0.924)",-0.7,0.484,3.03
Union,0.311,0.626,"(-0.916, 1.538)",0.5,0.619,12.12
Union City,-0.361,0.846,"(-2.020, 1.299)",-0.43,0.67,2.02
Uniontown,-0.571,0.845,"(-2.228, 1.086)",-0.68,0.499,2.01
Upper Marlboro,1.383,0.847,"(-0.279, 3.044)",1.63,0.103,2.02
Urbandale,-0.407,0.847,"(-2.067, 1.252)",-0.48,0.631,2.02
Utica,-0.354,0.735,"(-1.796, 1.087)",-0.48,0.63,3.04
Valdosta,0.667,0.733,"(-0.771, 2.104)",0.91,0.364,3.03
Valencia,-0.26,0.606,"(-1.447, 0.928)",-0.43,0.668,69.66
Valentine,1.566,0.846,"(-0.093, 3.224)",1.85,0.064,2.02
Valhalla,-0.441,0.847,"(-2.101, 1.219)",-0.52,0.603,2.02
Valley Cottage,1.499,0.734,"(0.060, 2.939)",2.04,0.041,3.04
Valley Park,0.741,0.847,"(-0.919, 2.401)",0.88,0.381,2.02
Valley Stream,0.634,0.691,"(-0.721, 1.990)",0.92,0.359,4.04
Valparaiso,1.236,0.656,"(-0.051, 2.523)",1.88,0.06,6.06
Vancouver,0.054,0.692,"(-1.302, 1.410)",0.08,0.938,4.04
Vandalia,-0.612,0.847,"(-2.272, 1.048)",-0.72,0.47,2.02
Vernon,-0.525,0.751,"(-1.996, 0.947)",-0.7,0.485,3.17
Vernon Hills,0.589,0.691,"(-0.767, 1.945)",0.85,0.394,4.04
Vernon Rockville,-0.366,0.846,"(-2.025, 1.294)",-0.43,0.666,2.02
Vernonia,-0.24,0.846,"(-1.899, 1.419)",-0.28,0.777,2.02
Verona,-0.367,0.671,"(-1.682, 0.948)",-0.55,0.584,5.07
Victor,-0.359,0.846,"(-2.018, 1.300)",-0.42,0.672,2.02
Vienna,-0.33,0.847,"(-1.990, 1.330)",-0.39,0.697,2.02
Villa Park,0.008,0.67,"(-1.306, 1.321)",0.01,0.991,5.06
Vincennes,1.425,0.848,"(-0.237, 3.086)",1.68,0.093,2.02
Vineland,-0.245,0.847,"(-1.905, 1.415)",-0.29,0.772,2.02
Vinemont,-0.066,0.847,"(-1.727, 1.595)",-0.08,0.938,2.02
Virginia Beach,0.323,0.647,"(-0.946, 1.592)",0.5,0.618,7.07
Wadena,-0.486,0.846,"(-2.145, 1.173)",-0.57,0.566,2.02
Wadsworth,0.281,0.64,"(-0.973, 1.535)",0.44,0.66,8.06
Walbridge,-0.225,0.847,"(-1.885, 1.434)",-0.27,0.79,2.02
Waldport,-0.235,0.609,"(-1.428, 0.959)",-0.39,0.7,38.43
Wallace,-0.528,0.846,"(-2.187, 1.131)",-0.62,0.533,2.02
Wallingford,-0.038,0.733,"(-1.475, 1.399)",-0.05,0.959,3.03
Wallowa,-0.353,0.692,"(-1.710, 1.004)",-0.51,0.61,4.05
Walsenburg,-0.824,0.898,"(-2.585, 0.937)",-0.92,0.359,2.27
Walton,-0.311,0.657,"(-1.599, 0.976)",-0.47,0.635,6.07
Wamsutter,-0.962,0.87,"(-2.668, 0.744)",-1.11,0.269,2.13
Wappingers Falls,1.524,0.848,"(-0.138, 3.185)",1.8,0.072,2.02
Waretown,-0.399,0.846,"(-2.057, 1.260)",-0.47,0.637,2.02
Warm Springs,-0.142,0.847,"(-1.801, 1.518)",-0.17,0.867,2.02
Warner,-0.354,0.624,"(-1.577, 0.869)",-0.57,0.57,13.13
Warners,-0.535,0.848,"(-2.198, 1.127)",-0.63,0.528,2.02
Warren,-0.142,0.621,"(-1.359, 1.074)",-0.23,0.819,15.16
Warrenton,-0.285,0.692,"(-1.642, 1.072)",-0.41,0.681,4.05
Warrenville,0.073,0.733,"(-1.364, 1.511)",0.1,0.921,3.03
Warwick,0.457,0.628,"(-0.774, 1.688)",0.73,0.467,11.1
Wasco,-0.289,0.693,"(-1.647, 1.070)",-0.42,0.677,4.06
Washington,0.542,0.618,"(-0.669, 1.753)",0.88,0.38,17.16
Washougal,-0.31,0.847,"(-1.970, 1.349)",-0.37,0.714,2.02
Watchung,-0.576,0.846,"(-2.235, 1.083)",-0.68,0.496,2.02
Waterbury,-0.354,0.635,"(-1.599, 0.892)",-0.56,0.578,9.08
Waterford,-0.458,0.846,"(-2.115, 1.200)",-0.54,0.588,2.01
Watervliet,0.174,0.648,"(-1.096, 1.443)",0.27,0.789,7.09
Wauconda,0.334,0.67,"(-0.980, 1.647)",0.5,0.618,5.06
Waukegan,0.189,0.641,"(-1.069, 1.446)",0.29,0.769,8.1
Waverly,-1.149,0.847,"(-2.809, 0.512)",-1.36,0.175,2.02
Waynesboro,1.643,0.846,"(-0.016, 3.302)",1.94,0.052,2.02
Waynesburg,1.537,0.693,"(0.178, 2.896)",2.22,0.027,4.06
Waynesville,1.171,0.693,"(-0.188, 2.530)",1.69,0.091,4.06
Weatherford,1.772,0.847,"(0.112, 3.433)",2.09,0.036,2.02
Webster,-0.251,0.733,"(-1.688, 1.185)",-0.34,0.732,3.02
Weedsport,-1.454,0.848,"(-3.116, 0.208)",-1.72,0.086,2.02
Weehawken,-0.365,0.691,"(-1.720, 0.990)",-0.53,0.597,4.03
Welches,-0.167,0.671,"(-1.482, 1.148)",-0.25,0.803,5.07
Weldon,-0.212,0.847,"(-1.872, 1.448)",-0.25,0.802,2.02
Wellington,1,0.67,"(-0.312, 2.313)",1.49,0.135,5.05
Wells,-0.357,0.663,"(-1.657, 0.944)",-0.54,0.591,6.19
Wendover,-0.502,0.692,"(-1.859, 0.855)",-0.72,0.469,4.05
Wentzville,-0.361,0.692,"(-1.717, 0.995)",-0.52,0.602,4.04
West Chester,0.703,0.624,"(-0.521, 1.927)",1.13,0.26,13.16
West Coxsackie,-0.901,0.847,"(-2.561, 0.760)",-1.06,0.288,2.02
West des Moines,-0.525,0.734,"(-1.964, 0.915)",-0.71,0.475,3.04
West Harrison,0.086,0.692,"(-1.270, 1.442)",0.12,0.901,4.04
West Hartford,-0.335,0.67,"(-1.648, 0.978)",-0.5,0.617,5.05
West Jordan,-0.345,0.733,"(-1.782, 1.092)",-0.47,0.638,3.03
West Linn,0.069,0.692,"(-1.288, 1.425)",0.1,0.921,4.05
West Memphis,-0.164,0.847,"(-1.824, 1.496)",-0.19,0.846,2.02
West Middlesex,1.233,0.734,"(-0.206, 2.673)",1.68,0.093,3.04
West Newton,0.902,0.693,"(-0.456, 2.260)",1.3,0.193,4.05
West Nyack,-0.458,0.67,"(-1.772, 0.856)",-0.68,0.494,5.06
West Olive,-0.334,0.735,"(-1.774, 1.107)",-0.45,0.65,3.04
West Orange,0.002,0.648,"(-1.268, 1.272)",0,0.998,7.09
West Valley City,-0.278,0.734,"(-1.717, 1.160)",-0.38,0.704,3.03
Westbury,-0.666,0.848,"(-2.328, 0.996)",-0.79,0.432,2.02
Westchester,0.382,0.848,"(-1.280, 2.045)",0.45,0.652,2.03
Western Springs,0.286,0.67,"(-1.028, 1.599)",0.43,0.67,5.06
Westerville,0.078,0.632,"(-1.160, 1.317)",0.12,0.901,10.11
Westfield,-0.555,0.732,"(-1.990, 0.879)",-0.76,0.448,3.02
Westhampton Beach,-0.918,0.847,"(-2.579, 0.742)",-1.08,0.278,2.02
Westlake,0.255,0.847,"(-1.406, 1.916)",0.3,0.764,2.02
Westminster,1.394,0.848,"(-0.268, 3.056)",1.64,0.1,2.02
Westmoreland,0.14,0.656,"(-1.145, 1.426)",0.21,0.831,6.05
Weston,-0.224,0.734,"(-1.663, 1.215)",-0.31,0.76,3.03
Westport,0.068,0.67,"(-1.245, 1.381)",0.1,0.919,5.05
Westville,-0.248,0.734,"(-1.686, 1.190)",-0.34,0.735,3.03
Westwego,0.577,0.671,"(-0.739, 1.894)",0.86,0.39,5.07
Westwood,-0.279,0.847,"(-1.938, 1.381)",-0.33,0.742,2.02
Wethersfield,-0.514,0.647,"(-1.782, 0.754)",-0.79,0.427,7.07
Wheaton,0.015,0.67,"(-1.299, 1.328)",0.02,0.983,5.06
Wheeler,-0.309,0.85,"(-1.975, 1.356)",-0.36,0.716,2.03
Wheeling,-0.353,0.734,"(-1.792, 1.085)",-0.48,0.63,3.03
White Hall,1.637,0.692,"(0.280, 2.994)",2.36,0.018,4.05
White Haven,0.384,0.849,"(-1.280, 2.048)",0.45,0.651,2.03
White Pine,-0.051,0.735,"(-1.492, 1.391)",-0.07,0.945,3.04
White River Junction,-0.485,0.734,"(-1.924, 0.953)",-0.66,0.509,3.03
Whitehall,0.669,0.734,"(-0.769, 2.107)",0.91,0.362,3.03
Whitesboro,1.368,0.735,"(-0.073, 2.809)",1.86,0.063,3.04
Whitestone,-0.174,0.847,"(-1.834, 1.486)",-0.21,0.837,2.02
Whitestown,1.831,0.847,"(0.171, 3.491)",2.16,0.031,2.02
Whitmore Lake,0.349,0.647,"(-0.920, 1.617)",0.54,0.59,7.07
Whitney Point,-0.68,0.848,"(-2.342, 0.982)",-0.8,0.423,2.02
Widener,0.856,0.847,"(-0.804, 2.517)",1.01,0.312,2.02
Wilderville,-0.291,0.671,"(-1.605, 1.023)",-0.43,0.664,5.06
Wildwood,-0.015,0.607,"(-1.205, 1.174)",-0.03,0.98,49.45
Willamina,-0.326,0.847,"(-1.987, 1.335)",-0.38,0.701,2.02
Williamsburg,0.965,0.657,"(-0.322, 2.252)",1.47,0.142,6.07
Williamson,-0.421,0.85,"(-2.088, 1.246)",-0.5,0.62,2.04
Williamstown,0.835,0.692,"(-0.521, 2.192)",1.21,0.227,4.05
Willowbrook,0.769,0.733,"(-0.668, 2.207)",1.05,0.294,3.03
Wilmington,1,0.635,"(-0.245, 2.246)",1.57,0.116,9.09
Wilsonville,-0.17,0.67,"(-1.484, 1.144)",-0.25,0.799,5.06
Winchester,-0.165,0.847,"(-1.824, 1.495)",-0.19,0.846,2.02
Windham,-0.422,0.656,"(-1.709, 0.865)",-0.64,0.52,6.07
Windsor,0.778,0.647,"(-0.491, 2.046)",1.2,0.229,7.07
Winfield,0.494,0.846,"(-1.165, 2.154)",0.58,0.559,2.02
Winlock,1.048,0.67,"(-0.267, 2.362)",1.56,0.118,5.06
Winnetka,0.293,0.845,"(-1.363, 1.949)",0.35,0.729,2.01
Winona,-0.358,0.846,"(-2.017, 1.301)",-0.42,0.673,2.02
Winston Salem,0.699,0.648,"(-0.571, 1.969)",1.08,0.281,7.08
Winthrop,-0.305,0.847,"(-1.964, 1.355)",-0.36,0.719,2.02
Wixom,-0.381,0.733,"(-1.818, 1.057)",-0.52,0.604,3.03
Wofford Heights,1.121,0.661,"(-0.175, 2.418)",1.7,0.09,6.16
Wolf Creek,-0.292,0.61,"(-1.488, 0.905)",-0.48,0.633,30.32
Woodbine,-0.317,0.847,"(-1.977, 1.343)",-0.37,0.708,2.02
Woodbridge,1.732,0.735,"(0.291, 3.173)",2.36,0.018,3.04
Woodburn,-0.52,0.844,"(-2.174, 1.134)",-0.62,0.538,2.01
Woodbury,-0.429,0.648,"(-1.699, 0.841)",-0.66,0.508,7.09
Woodinville,-0.331,0.734,"(-1.770, 1.109)",-0.45,0.652,3.04
Woodland,-0.722,0.844,"(-2.376, 0.932)",-0.86,0.392,2.01
Woodridge,0.412,0.731,"(-1.021, 1.845)",0.56,0.573,3.01
Woods Cross,-0.463,0.691,"(-1.817, 0.891)",-0.67,0.502,4.03
Woodside,0.494,0.641,"(-0.763, 1.750)",0.77,0.441,8.09
Woodstock,0.477,0.734,"(-0.961, 1.915)",0.65,0.516,3.03
Woolwich,-0.313,0.847,"(-1.975, 1.348)",-0.37,0.712,2.02
Worcester,0.525,0.692,"(-0.832, 1.881)",0.76,0.448,4.04
Worthington,-0.755,0.733,"(-2.193, 0.682)",-1.03,0.303,3.03
Wyoming,-0.259,0.734,"(-1.699, 1.180)",-0.35,0.724,3.04
Wytheville,0.444,0.848,"(-1.218, 2.107)",0.52,0.6,2.02
Yachats,-0.224,0.612,"(-1.424, 0.976)",-0.37,0.715,27.36
Yamhill,-0.15,0.847,"(-1.810, 1.510)",-0.18,0.859,2.02
Yemassee,-0.304,0.847,"(-1.963, 1.356)",-0.36,0.72,2.02
Yonkers,-0.441,0.692,"(-1.797, 0.915)",-0.64,0.524,4.04
York,-0.368,0.692,"(-1.725, 0.989)",-0.53,0.595,4.05
Yorktown Heights,-0.396,0.67,"(-1.709, 0.917)",-0.59,0.554,5.05
Youngstown,1.107,0.656,"(-0.180, 2.394)",1.69,0.092,6.06
Ypsilanti,-0.509,0.734,"(-1.947, 0.930)",-0.69,0.488,3.03
Yucaipa,0.017,0.659,"(-1.274, 1.308)",0.03,0.98,6.1
Zanesville,1.64,0.848,"(-0.023, 3.303)",1.93,0.053,2.03
Zionsville,0.609,0.733,"(-0.829, 2.047)",0.83,0.406,3.03
Zirconia,-0.184,0.847,"(-1.844, 1.476)",-0.22,0.828,2.02
Month,,,,,,
2,-0.0066,0.03,"(-0.0655, 0.0522)",-0.22,0.825,2.58
3,0.0727,0.0319,"(0.0101, 0.1354)",2.28,0.023,2.86
4,0.0494,0.0372,"(-0.0235, 0.1223)",1.33,0.184,2.45
5,0.0192,0.0677,"(-0.1135, 0.1519)",0.28,0.777,1.79
6,0.1644,0.0725,"(0.0223, 0.3065)",2.27,0.023,1.79
7,0.1229,0.0882,"(-0.0500, 0.2958)",1.39,0.164,1.91
8,-0.1485,0.0703,"(-0.2862, -0.0107)",-2.11,0.035,2.27
9,-0.1431,0.0709,"(-0.2820, -0.0042)",-2.02,0.043,2.1
10,-0.0995,0.0534,"(-0.2042, 0.0052)",-1.86,0.063,2.42
11,-0.1528,0.0371,"(-0.2256, -0.0801)",-4.12,0,3.74
12,-0.1736,0.0357,"(-0.2436, -0.1035)",-4.86,0,4.32
Start_Hour,,,,,,
1,0.0624,0.0857,"(-0.1056, 0.2304)",0.73,0.467,2.37
2,0.1424,0.0864,"(-0.0269, 0.3118)",1.65,0.099,2.4
3,0.0921,0.0869,"(-0.0783, 0.2624)",1.06,0.289,2.64
4,0.2078,0.081,"(0.0489, 0.3667)",2.56,0.01,2.99
5,0.0512,0.0773,"(-0.1003, 0.2026)",0.66,0.508,4.48
6,-0.0914,0.0818,"(-0.2517, 0.0689)",-1.12,0.264,7.68
7,-0.2119,0.0845,"(-0.3777, -0.0462)",-2.51,0.012,10.38
8,-0.2995,0.0863,"(-0.4686, -0.1303)",-3.47,0.001,11.23
9,-0.1646,0.0869,"(-0.3350, 0.0058)",-1.89,0.058,10.37
10,-0.1465,0.0878,"(-0.3186, 0.0256)",-1.67,0.095,9.16
11,-0.1748,0.0885,"(-0.3482, -0.0014)",-1.98,0.048,8.44
12,-0.1791,0.0894,"(-0.3543, -0.0039)",-2,0.045,8.67
13,-0.2029,0.0882,"(-0.3758, -0.0300)",-2.3,0.021,8.56
14,-0.2548,0.0873,"(-0.4259, -0.0837)",-2.92,0.004,9.68
15,-0.1685,0.0869,"(-0.3390, 0.0019)",-1.94,0.053,9.66
16,-0.2047,0.0865,"(-0.3743, -0.0351)",-2.37,0.018,9.29
17,-0.221,0.0831,"(-0.3839, -0.0581)",-2.66,0.008,9.05
18,-0.1505,0.0771,"(-0.3016, 0.0006)",-1.95,0.051,7.18
19,-0.0267,0.0757,"(-0.1752, 0.1217)",-0.35,0.724,4.21
20,0.1581,0.0793,"(0.0026, 0.3136)",1.99,0.046,3.57
21,0.0392,0.0845,"(-0.1264, 0.2048)",0.46,0.643,2.74
22,0.228,0.0809,"(0.0694, 0.3867)",2.82,0.005,2.98
23,0.2774,0.0875,"(0.1059, 0.4489)",3.17,0.002,2.74
